"order_id","ship_mode","sales_customer_id","sales_product_id","customer_name","age","city","product_name","category"
"CA-2016-152156","Second Class","CG-12520","FUR-BO-10001798","Claire Gute",67,"Henderson","Bush Somerset Collection Bookcase","Furniture"
"CA-2016-152156","Second Class","CG-12520","FUR-CH-10000454","Claire Gute",67,"Henderson","Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back","Furniture"
"CA-2016-138688","Second Class","DV-13045","OFF-LA-10000240","Darrin Van Huff",31,"Los Angeles","Self-Adhesive Address Labels for Typewriters by Universal","Office Supplies"
"US-2015-108966","Standard Class","SO-20335","FUR-TA-10000577","Sean O'Donnell",65,"Fort Lauderdale","Bretford CR4500 Series Slim Rectangular Table","Furniture"
"US-2015-108966","Standard Class","SO-20335","OFF-ST-10000760","Sean O'Donnell",65,"Fort Lauderdale","Eldon Fold N Roll Cart System","Office Supplies"
"CA-2014-115812","Standard Class","BH-11710","FUR-FU-10001487","Brosina Hoffman",20,"Los Angeles","Eldon Expressions Wood and Plastic Desk Accessories  Cherry Wood","Furniture"
"CA-2014-115812","Standard Class","BH-11710","OFF-AR-10002833","Brosina Hoffman",20,"Los Angeles","Newell 322","Office Supplies"
"CA-2014-115812","Standard Class","BH-11710","TEC-PH-10002275","Brosina Hoffman",20,"Los Angeles","Mitel 5320 IP Phone VoIP phone","Technology"
"CA-2014-115812","Standard Class","BH-11710","OFF-BI-10003910","Brosina Hoffman",20,"Los Angeles","DXL Angle-View Binders with Locking Rings by Samsill","Office Supplies"
"CA-2014-115812","Standard Class","BH-11710","OFF-AP-10002892","Brosina Hoffman",20,"Los Angeles","Belkin F5C206VTEL 6 Outlet Surge","Office Supplies"
"CA-2014-115812","Standard Class","BH-11710","FUR-TA-10001539","Brosina Hoffman",20,"Los Angeles","Chromcraft Rectangular Conference Tables","Furniture"
"CA-2014-115812","Standard Class","BH-11710","TEC-PH-10002033","Brosina Hoffman",20,"Los Angeles","Konftel 250 Conference phone Charcoal black","Technology"
"CA-2017-114412","Standard Class","AA-10480","OFF-PA-10002365","Andrew Allen",50,"Concord","Xerox 1967","Office Supplies"
"CA-2016-161389","Standard Class","IM-15070","OFF-BI-10003656","Irene Maddox",66,"Seattle","Fellowes PB200 Plastic Comb Binding Machine","Office Supplies"
"US-2015-118983","Standard Class","HP-14815","OFF-AP-10002311","Harold Pawlan",20,"Fort Worth","Holmes Replacement Filter for HEPA Air Cleaner  Very Large Room  HEPA Filter","Office Supplies"
"US-2015-118983","Standard Class","HP-14815","OFF-BI-10000756","Harold Pawlan",20,"Fort Worth","Storex DuraTech Recycled Plastic Frosted Binders","Office Supplies"
"CA-2014-105893","Standard Class","PK-19075","OFF-ST-10004186","Pete Kriz",46,"Madison","Stur-D-Stor Shelving  Vertical 5-Shelf: 72H x 36W x 18 1/2D","Office Supplies"
"CA-2014-167164","Second Class","AG-10270","OFF-ST-10000107","Alejandro Grove",18,"West Jordan","Fellowes Super Stor/Drawer","Office Supplies"
"CA-2014-143336","Second Class","ZD-21925","OFF-AR-10003056","Zuschuss Donatelli",66,"San Francisco","Newell 341","Office Supplies"
"CA-2014-143336","Second Class","ZD-21925","TEC-PH-10001949","Zuschuss Donatelli",66,"San Francisco","Cisco SPA 501G IP Phone","Technology"
"CA-2014-143336","Second Class","ZD-21925","OFF-BI-10002215","Zuschuss Donatelli",66,"San Francisco","Wilson Jones Hanging View Binder  White  1","Office Supplies"
"CA-2016-137330","Standard Class","KB-16585","OFF-AR-10000246","Ken Black",67,"Fremont","Newell 318","Office Supplies"
"CA-2016-137330","Standard Class","KB-16585","OFF-AP-10001492","Ken Black",67,"Fremont","Acco Six-Outlet Power Strip  4 Cord Length","Office Supplies"
"US-2017-156909","Second Class","SF-20065","FUR-CH-10002774","Sandra Flanagan",41,"Philadelphia","Global Deluxe Stacking Chair  Gray","Furniture"
"CA-2015-106320","Standard Class","EB-13870","FUR-TA-10000577","Emily Burns",34,"Orem","Bretford CR4500 Series Slim Rectangular Table","Furniture"
"CA-2016-121755","Second Class","EH-13945","OFF-BI-10001634","Eric Hoffmann",21,"Los Angeles","Wilson Jones Active Use Binders","Office Supplies"
"CA-2016-121755","Second Class","EH-13945","TEC-AC-10003027","Eric Hoffmann",21,"Los Angeles","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive","Technology"
"US-2015-150630","Standard Class","TB-21520","FUR-BO-10004834","Tracy Blumstein",48,"Philadelphia","Riverside Palais Royal Lawyers Bookcase  Royale Cherry Finish","Furniture"
"US-2015-150630","Standard Class","TB-21520","OFF-BI-10000474","Tracy Blumstein",48,"Philadelphia","Avery Recycled Flexi-View Covers for Binding Systems","Office Supplies"
"US-2015-150630","Standard Class","TB-21520","FUR-FU-10004848","Tracy Blumstein",48,"Philadelphia","Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock","Furniture"
"US-2015-150630","Standard Class","TB-21520","OFF-EN-10001509","Tracy Blumstein",48,"Philadelphia","Poly String Tie Envelopes","Office Supplies"
"US-2015-150630","Standard Class","TB-21520","OFF-AR-10004042","Tracy Blumstein",48,"Philadelphia","BOSTON Model 1800 Electric Pencil Sharpeners  Putty/Woodgrain","Office Supplies"
"US-2015-150630","Standard Class","TB-21520","OFF-BI-10001525","Tracy Blumstein",48,"Philadelphia","Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Executive Red","Office Supplies"
"US-2015-150630","Standard Class","TB-21520","OFF-AR-10001683","Tracy Blumstein",48,"Philadelphia","Lumber Crayons","Office Supplies"
"CA-2017-107727","Second Class","MA-17560","OFF-PA-10000249","Matt Abelman",19,"Houston","Easy-staple paper","Office Supplies"
"CA-2016-117590","First Class","GH-14485","TEC-PH-10004977","Gene Hale",28,"Richardson","GE 30524EE4","Technology"
"CA-2016-117590","First Class","GH-14485","FUR-FU-10003664","Gene Hale",28,"Richardson","Electrix Architects Clamp-On Swing Arm Lamp  Black","Furniture"
"CA-2015-117415","Standard Class","SN-20710","OFF-EN-10002986","Steve Nguyen",46,"Houston","#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes","Office Supplies"
"CA-2015-117415","Standard Class","SN-20710","FUR-BO-10002545","Steve Nguyen",46,"Houston","Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors","Furniture"
"CA-2015-117415","Standard Class","SN-20710","FUR-CH-10004218","Steve Nguyen",46,"Houston","Global Fabric Managers Chair  Dark Gray","Furniture"
"CA-2015-117415","Standard Class","SN-20710","TEC-PH-10000486","Steve Nguyen",46,"Houston","Plantronics HL10 Handset Lifter","Technology"
"CA-2017-120999","Standard Class","LC-16930","TEC-PH-10004093","Linda Cazamias",31,"Naperville","Panasonic Kx-TS550","Technology"
"CA-2016-101343","Standard Class","RA-19885","OFF-ST-10003479","Ruben Ausman",51,"Los Angeles","Eldon Base for stackable storage shelf  platinum","Office Supplies"
"CA-2017-139619","Standard Class","ES-14080","OFF-ST-10003282","Erin Smith",20,"Melbourne","Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers","Office Supplies"
"CA-2016-118255","First Class","ON-18715","TEC-AC-10000171","Odella Nelson",27,"Eagan","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  25/Pack","Technology"
"CA-2016-118255","First Class","ON-18715","OFF-BI-10003291","Odella Nelson",27,"Eagan","Wilson Jones Leather-Like Binders with DublLock Round Rings","Office Supplies"
"CA-2014-146703","Second Class","PO-18865","OFF-ST-10001713","Patrick O'Donnell",64,"Westland","Gould Plastics 9-Pocket Panel Bin  18-3/8w x 5-1/4d x 20-1/2h  Black","Office Supplies"
"CA-2016-169194","Standard Class","LH-16900","TEC-AC-10002167","Lena Hernandez",66,"Dover","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","Technology"
"CA-2016-169194","Standard Class","LH-16900","TEC-PH-10003988","Lena Hernandez",66,"Dover","LF Elite 3D Dazzle Designer Hard Case Cover  Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite","Technology"
"CA-2015-115742","Standard Class","DP-13000","OFF-BI-10004410","Darren Powers",40,"New Albany","C-Line Peel & Stick Add-On Filing Pockets  8-3/4 x 5-1/8  10/Pack","Office Supplies"
"CA-2015-115742","Standard Class","DP-13000","OFF-LA-10002762","Darren Powers",40,"New Albany","Avery 485","Office Supplies"
"CA-2015-115742","Standard Class","DP-13000","FUR-FU-10001706","Darren Powers",40,"New Albany","Longer-Life Soft White Bulbs","Furniture"
"CA-2015-115742","Standard Class","DP-13000","FUR-CH-10003061","Darren Powers",40,"New Albany","Global Leather Task Chair  Black","Furniture"
"CA-2016-105816","Standard Class","JM-15265","OFF-FA-10000304","Janet Molinari",23,"New York City","Advantus Push Pins","Office Supplies"
"CA-2016-105816","Standard Class","JM-15265","TEC-PH-10002447","Janet Molinari",23,"New York City","AT&T CL83451 4-Handset Telephone","Technology"
"CA-2016-111682","First Class","TB-21055","OFF-ST-10000604","Ted Butterfield",34,"Troy","Home/Office Personal File Carts","Office Supplies"
"CA-2016-111682","First Class","TB-21055","OFF-PA-10001569","Ted Butterfield",34,"Troy","Xerox 232","Office Supplies"
"CA-2016-111682","First Class","TB-21055","FUR-CH-10003968","Ted Butterfield",34,"Troy","Novimex Turbo Task Chair","Furniture"
"CA-2016-111682","First Class","TB-21055","OFF-PA-10000587","Ted Butterfield",34,"Troy","Array Parchment Paper  Assorted Colors","Office Supplies"
"CA-2016-111682","First Class","TB-21055","TEC-AC-10002167","Ted Butterfield",34,"Troy","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","Technology"
"CA-2016-111682","First Class","TB-21055","OFF-BI-10001460","Ted Butterfield",34,"Troy","Plastic Binding Combs","Office Supplies"
"CA-2016-111682","First Class","TB-21055","OFF-AR-10001868","Ted Butterfield",34,"Troy","Prang Dustless Chalk Sticks","Office Supplies"
"CA-2015-135545","Standard Class","KM-16720","TEC-AC-10004633","Kunst Miller",69,"Los Angeles","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  3/Pack","Technology"
"CA-2015-135545","Standard Class","KM-16720","OFF-BI-10001078","Kunst Miller",69,"Los Angeles","Acco PRESSTEX Data Binder with Storage Hooks  Dark Blue  14 7/8 X 11","Office Supplies"
"CA-2015-135545","Standard Class","KM-16720","OFF-PA-10003892","Kunst Miller",69,"Los Angeles","Xerox 1943","Office Supplies"
"CA-2015-135545","Standard Class","KM-16720","FUR-FU-10000397","Kunst Miller",69,"Los Angeles","Luxo Economy Swing Arm Lamp","Furniture"
"US-2015-164175","Standard Class","PS-18970","FUR-CH-10001146","Paul Stevenson",31,"Chicago","Global Value Mid-Back Managers Chair  Gray","Furniture"
"CA-2014-106376","Standard Class","BS-11590","OFF-AR-10002671","Brendan Sweed",45,"Gilbert","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener  Beige","Office Supplies"
"CA-2014-106376","Standard Class","BS-11590","TEC-PH-10002726","Brendan Sweed",45,"Gilbert","netTALK DUO VoIP Telephone Service","Technology"
"CA-2016-119823","First Class","KD-16270","OFF-PA-10000482","Karen Daniels",59,"Springfield","Snap-A-Way Black Print Carbonless Ruled Speed Letter  Triplicate","Office Supplies"
"CA-2016-106075","Standard Class","HM-14980","OFF-BI-10004654","Henry MacAllister",35,"New York City","Avery Binding System Hidden Tab Executive Style Index Sets","Office Supplies"
"CA-2017-114440","Second Class","TB-21520","OFF-PA-10004675","Tracy Blumstein",48,"Philadelphia","Telephone Message Books with Fax/Mobile Section  5 1/2 x 3 3/16","Office Supplies"
"US-2015-134026","Standard Class","JE-15745","FUR-CH-10000513","Joel Eaton",25,"Memphis","High-Back Leather Managers Chair","Furniture"
"US-2015-134026","Standard Class","JE-15745","FUR-FU-10003708","Joel Eaton",25,"Memphis","Tenex Traditional Chairmats for Medium Pile Carpet  Standard Lip  36 x 48","Furniture"
"US-2015-134026","Standard Class","JE-15745","OFF-ST-10004123","Joel Eaton",25,"Memphis","Safco Industrial Wire Shelving System","Office Supplies"
"US-2017-118038","First Class","KB-16600","OFF-BI-10004182","Ken Brennan",29,"Houston","Economy Binders","Office Supplies"
"US-2017-118038","First Class","KB-16600","FUR-FU-10000260","Ken Brennan",29,"Houston","6 Cubicle Wall Clock  Black","Furniture"
"US-2017-118038","First Class","KB-16600","OFF-ST-10000615","Ken Brennan",29,"Houston","SimpliFile Personal File  Black Granite  15w x 6-15/16d x 11-1/4h","Office Supplies"
"US-2014-147606","Second Class","JE-15745","FUR-FU-10003194","Joel Eaton",25,"Memphis","Eldon Expressions Desk Accessory  Wood Pencil Holder  Oak","Furniture"
"CA-2016-127208","First Class","SC-20770","OFF-AP-10002118","Stewart Carmichael",18,"Decatur","1.7 Cubic Foot Compact Cube Office Refrigerators","Office Supplies"
"CA-2016-127208","First Class","SC-20770","OFF-BI-10002309","Stewart Carmichael",18,"Decatur","Avery Heavy-Duty EZD  Binder With Locking Rings","Office Supplies"
"CA-2014-139451","Standard Class","DN-13690","OFF-AR-10002053","Duane Noonan",42,"San Francisco","Premium Writing Pencils  Soft  #2 by Central Association for the Blind","Office Supplies"
"CA-2014-139451","Standard Class","DN-13690","OFF-ST-10002370","Duane Noonan",42,"San Francisco","Sortfiler Multipurpose Personal File Organizer  Black","Office Supplies"
"CA-2015-149734","Standard Class","JC-16105","OFF-EN-10000927","Julie Creighton",56,"Durham","Jet-Pak Recycled Peel N Seal Padded Mailers","Office Supplies"
"US-2017-119662","First Class","CS-12400","OFF-ST-10003656","Christopher Schild",33,"Chicago","Safco Industrial Wire Shelving","Office Supplies"
"CA-2017-140088","Second Class","PO-18865","FUR-CH-10000863","Patrick O'Donnell",64,"Westland","Novimex Swivel Fabric Task Chair","Furniture"
"CA-2017-155558","Standard Class","PG-18895","TEC-AC-10001998","Paul Gonzalez",64,"Rochester","Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired","Technology"
"CA-2017-155558","Standard Class","PG-18895","OFF-LA-10000134","Paul Gonzalez",64,"Rochester","Avery 511","Office Supplies"
"CA-2016-159695","Second Class","GM-14455","OFF-ST-10003442","Gary Mitchum",64,"Houston","Eldon Portable Mobile Manager","Office Supplies"
